chicago_reader_href,date_created,date_updated,username,is_scraped
https://www.chicagoreader.com/chicago/true-parables/Content?oid=921530,2020-05-01 19:41:53.926371,2020-05-01 19:41:53.926372,Prathyusha,
http://www.chicagoreader.com/chicago/home-truths/Content?oid=891493,2020-05-01 19:41:53.926387,2020-05-01 19:41:53.926388,Prathyusha,
https://www.chicagoreader.com/chicago/beautifully-fake-and-just-plain-phony/Content?oid=924395,2020-05-01 19:41:53.926412,2020-05-01 19:41:53.926414,Prathyusha,
https://www.chicagoreader.com/chicago/into-the-abyss-at-the-death-house-door/Content?oid=5011723,2020-05-01 19:41:53.926431,2020-05-01 19:41:53.926432,Prathyusha,
https://www.chicagoreader.com/chicago/a-novel-treat/Content?oid=999921,2020-05-01 19:41:53.926448,2020-05-01 19:41:53.926449,Prathyusha,
 http://www.chicagoreader.com/chicago/master-of-reality/Content?oid=899963,2020-05-01 19:41:53.926466,2020-05-01 19:41:53.926467,Prathyusha,
https://www.chicagoreader.com/chicago/a-little-transcendence-goes-a-long-way/Content?oid=917583,2020-05-01 19:41:53.926482,2020-05-01 19:41:53.926483,Prathyusha,
https://www.chicagoreader.com/chicago/memory-and-marriage/Content?oid=924960,2020-05-01 19:41:53.926500,2020-05-01 19:41:53.926502,Prathyusha,
http://www.chicagoreader.com/chicago/a-terrorists-tale-review-of-the-baader-meinhof-complex/Content?oid=1191779,2020-05-01 19:41:53.926549,2020-05-01 19:41:53.926551,Prathyusha,
 http://www.chicagoreader.com/chicago/garbage-in-distorted-garbage-out/Content?oid=851098,2020-05-01 19:41:53.926569,2020-05-01 19:41:53.926571,Prathyusha,
 http://www.chicagoreader.com/chicago/death-becomes-him/Content?oid=884525,2020-05-01 19:41:53.926588,2020-05-01 19:41:53.926589,Prathyusha,
 http://www.chicagoreader.com/chicago/sweetback--son/Content?oid=915717,2020-05-01 19:41:53.926615,2020-05-01 19:41:53.926617,Prathyusha,
 http://www.chicagoreader.com/chicago/bad-lieutenant-port-of-call-new-orleans-review/Content?oid=1236513,2020-05-01 19:41:53.926635,2020-05-01 19:41:53.926636,Prathyusha,
 http://www.chicagoreader.com/chicago/trial-of-the-century/Content?oid=924501,2020-05-01 19:41:53.926656,2020-05-01 19:41:53.926657,Prathyusha,
 http://www.chicagoreader.com/chicago/dark-heart/Content?oid=907150,2020-05-01 19:41:53.926675,2020-05-01 19:41:53.926676,Prathyusha,
http://www.chicagoreader.com/chicago/how-to-write-a-3-million-script/Content?oid=879416,2020-05-01 19:41:53.926764,2020-05-01 19:41:53.926767,Prathyusha,
 http://www.chicagoreader.com/chicago/the-sexpot-spectrum/Content?oid=921861,2020-05-01 19:41:53.926788,2020-05-01 19:41:53.926790,Prathyusha,
 http://www.chicagoreader.com/chicago/battle-of-chile-nostalgia-for-the-light/Content?oid=4199632,2020-05-01 19:41:53.926806,2020-05-01 19:41:53.926808,Prathyusha,
 http://www.chicagoreader.com/chicago/whos-afraid-of-the-big-bad-city/Content?oid=919112,2020-05-01 19:41:53.926826,2020-05-01 19:41:53.926827,Prathyusha,
 http://www.chicagoreader.com/chicago/best-of-the-worst/Content?oid=910906,2020-05-01 19:41:53.926845,2020-05-01 19:41:53.926846,Prathyusha,
http://www.chicagoreader.com/chicago/beaten-to-death/Content?oid=5982937,2020-05-01 19:41:53.926863,2020-05-01 19:41:53.926865,Prathyusha,
 http://www.chicagoreader.com/chicago/unsatisfied-men/Content?oid=902343,2020-05-01 19:41:53.926882,2020-05-01 19:41:53.926883,Prathyusha,
 http://www.chicagoreader.com/chicago/movie-review-beautiful-boy/Content?oid=4064118,2020-05-01 19:41:53.926900,2020-05-01 19:41:53.926902,Prathyusha,
 http://www.chicagoreader.com/chicago/welcome-stranger/Content?oid=918032,2020-05-01 19:41:53.926920,2020-05-01 19:41:53.926922,Prathyusha,
 http://www.chicagoreader.com/chicago/beeswax-andrew-bujalski-mumblecore-funny-ha-ha/Content?oid=1385399,2020-05-01 19:41:53.926939,2020-05-01 19:41:53.926941,Prathyusha,
 http://www.chicagoreader.com/chicago/spur-of-the-moment/Content?oid=915922,2020-05-01 19:41:53.926959,2020-05-01 19:41:53.926961,Prathyusha,
 http://www.chicagoreader.com/chicago/what-have-we-learned/Content?oid=907200,2020-05-01 19:41:53.926977,2020-05-01 19:41:53.926979,Prathyusha,
 http://www.chicagoreader.com/chicago/love-to-hate/Content?oid=908827,2020-05-01 19:41:53.926996,2020-05-01 19:41:53.926998,Prathyusha,
http://www.chicagoreader.com/chicago/the-choice-between-art-and-life/Content?oid=879022,2020-05-01 19:41:53.927015,2020-05-01 19:41:53.927017,Prathyusha,
 http://www.chicagoreader.com/chicago/face-to-face-with-history/Content?oid=905837,2020-05-01 19:41:53.927035,2020-05-01 19:41:53.927036,Prathyusha,
 http://www.chicagoreader.com/chicago/back-in-style/Content?oid=899402,2020-05-01 19:41:53.927053,2020-05-01 19:41:53.927054,Prathyusha,
 http://www.chicagoreader.com/chicago/best-worst-movie-review-troll-2/Content?oid=2165960,2020-05-01 19:41:53.927071,2020-05-01 19:41:53.927073,Prathyusha,
 http://www.chicagoreader.com/chicago/partners-in-crime/Content?oid=896747,2020-05-01 19:41:53.927089,2020-05-01 19:41:53.927090,Prathyusha,
 http://www.chicagoreader.com/chicago/our-girl-in-burma/Content?oid=888357,2020-05-01 19:41:53.927104,2020-05-01 19:41:53.927106,Prathyusha,
" http://www.chicagoreader.com/chicago/return-to-beauty/Content?oid=901889>Beyond the Clouds</a> ★★★<br/>
Directed by Michelangelo Antonioni (with Wim Wenders)
Review by Jonathan Rosenbaum<br/></p>



            
          
            <p><a href=",2020-05-01 19:41:53.927120,2020-05-01 19:41:53.927121,Prathyusha,
 http://www.chicagoreader.com/chicago/true-lies/Content?oid=914535,2020-05-01 19:41:53.927234,2020-05-01 19:41:53.927237,Prathyusha,
 http://www.chicagoreader.com/chicago/la-residential/Content?oid=895709,2020-05-01 19:41:53.927256,2020-05-01 19:41:53.927257,Prathyusha,
 http://www.chicagoreader.com/chicago/the-most-intelligent-american-movie-of-the-year/Content?oid=917270,2020-05-01 19:41:53.927271,2020-05-01 19:41:53.927272,Prathyusha,
 http://www.chicagoreader.com/chicago/filling-in-the-blanks/Content?oid=893607,2020-05-01 19:41:53.927288,2020-05-01 19:41:53.927289,Prathyusha,
 http://www.chicagoreader.com/chicago/sex-games/Content?oid=884189,2020-05-01 19:41:53.927307,2020-05-01 19:41:53.927309,Prathyusha,
 http://www.chicagoreader.com/chicago/prisoners-of-war/Content?oid=915777,2020-05-01 19:41:53.927322,2020-05-01 19:41:53.927324,Prathyusha,
 http://www.chicagoreader.com/chicago/dont-judge-a-film-by-its-venue/Content?oid=924797,2020-05-01 19:41:53.927338,2020-05-01 19:41:53.927339,Prathyusha,
 http://www.chicagoreader.com/chicago/mythic-mission/Content?oid=911849,2020-05-01 19:41:53.927354,2020-05-01 19:41:53.927355,Prathyusha,
 http://www.chicagoreader.com/chicago/the-actual-definitive-ultimate-directors-cut/Content?oid=999753,2020-05-01 19:41:53.927370,2020-05-01 19:41:53.927371,Prathyusha,
 http://www.chicagoreader.com/chicago/black-and-white-world/Content?oid=887229,2020-05-01 19:41:53.927385,2020-05-01 19:41:53.927386,Prathyusha,
 http://www.chicagoreader.com/chicago/art-in-action/Content?oid=916324,2020-05-01 19:41:53.927400,2020-05-01 19:41:53.927422,Prathyusha,
 http://www.chicagoreader.com/chicago/the-limits-of-memory/Content?oid=916459,2020-05-01 19:41:53.927437,2020-05-01 19:41:53.927439,Prathyusha,
 http://www.chicagoreader.com/chicago/the-trouble-with-harry/Content?oid=909313,2020-05-01 19:41:53.927454,2020-05-01 19:41:53.927455,Prathyusha,
 http://www.chicagoreader.com/chicago/arresting-images/Content?oid=891618,2020-05-01 19:41:53.927470,2020-05-01 19:41:53.927471,Prathyusha,
 http://www.chicagoreader.com/chicago/consider-the-source/Content?oid=904461,2020-05-01 19:41:53.927501,2020-05-01 19:41:53.927516,Prathyusha,
 http://www.chicagoreader.com/chicago/villian-the-blank/Content?oid=884956,2020-05-01 19:41:53.927534,2020-05-01 19:41:53.927535,Prathyusha,
 http://www.chicagoreader.com/chicago/eurofilm/Content?oid=883753,2020-05-01 19:41:53.927559,2020-05-01 19:41:53.927561,Prathyusha,
 http://www.chicagoreader.com/chicago/blue-collar-film-review-paul-schrader-richard-pryor/Content?oid=3553732,2020-05-01 19:41:53.927593,2020-05-01 19:41:53.927595,Prathyusha,
 http://www.chicagoreader.com/chicago/history-happens/Content?oid=885462,2020-05-01 19:41:53.927611,2020-05-01 19:41:53.927613,Prathyusha,
